"CAINC6N Compensation of Employees by NAICS Industry"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2018"
"17001","Adams, IL","400","      Construction",78556
"17001","Adams, IL","401","        Construction of buildings",18065
"17001","Adams, IL","402","        Heavy and civil engineering construction",11191
"17001","Adams, IL","403","        Specialty trade contractors",49300
"17001","Adams, IL","500","      Manufacturing",353187
"17001","Adams, IL","510","        Durable goods manufacturing",283666
"17001","Adams, IL","511","          Wood product manufacturing",1212
"17001","Adams, IL","512","          Nonmetallic mineral product manufacturing",2433
"17001","Adams, IL","513","          Primary metal manufacturing","(D)"
"17001","Adams, IL","514","          Fabricated metal product manufacturing",31482
"17001","Adams, IL","515","          Machinery manufacturing",120518
"17001","Adams, IL","516","          Computer and electronic product manufacturing",22827
"17001","Adams, IL","517","          Electrical equipment, appliance, and component manufacturing",0
"17001","Adams, IL","518","          Motor vehicles, bodies and trailers, and parts manufacturing",92220
"17001","Adams, IL","519","          Other transportation equipment manufacturing","(D)"
"17001","Adams, IL","521","          Furniture and related product manufacturing","(D)"
"17001","Adams, IL","522","          Miscellaneous manufacturing",1487
"17001","Adams, IL","530","        Nondurable goods manufacturing",69521
"17001","Adams, IL","531","          Food manufacturing",39576
"17001","Adams, IL","532","          Beverage and tobacco product manufacturing","(D)"
"17001","Adams, IL","533","          Textile mills",0
"17001","Adams, IL","534","          Textile product mills","(D)"
"17001","Adams, IL","535","          Apparel manufacturing",0
"17001","Adams, IL","536","          Leather and allied product manufacturing",0
"17001","Adams, IL","537","          Paper manufacturing","(D)"
"17001","Adams, IL","538","          Printing and related support activities",2532
"17001","Adams, IL","539","          Petroleum and coal products manufacturing",0
"17001","Adams, IL","541","          Chemical manufacturing",15656
"17001","Adams, IL","542","          Plastics and rubber products manufacturing",0
"17001","Adams, IL","600","      Wholesale trade",116786
"17001","Adams, IL","700","      Retail trade",152624
"17001","Adams, IL","701","        Motor vehicle and parts dealers",33645
"17001","Adams, IL","702","        Furniture and home furnishings stores",9585
"17001","Adams, IL","703","        Electronics and appliance stores",2203
"17001","Adams, IL","704","        Building material and garden equipment and supplies dealers",17291
"17001","Adams, IL","705","        Food and beverage stores",35816
"17001","Adams, IL","706","        Health and personal care stores",5461
"17001","Adams, IL","707","        Gasoline stations",3112
